dataset,group_type,group,n,events,event_rate,mean_predicted_risk,observed_expected_ratio,brier,auroc,auprc,model_probability_cutoff,sensitivity,specificity,ppv,npv,f1,accuracy,tn,fp,fn,tp,small_cell_flag
charls_heldout,education,3.secondary school and above,1056,23,0.021780303030303032,0.027445870561217806,0.7935730434100179,0.021224520831751952,0.7113725325139947,0.05758394138512983,0.1475,0.0,0.9980638915779284,0.0,0.9781783681214421,0.0,0.9763257575757576,1031,2,23,0,
charls_heldout,age_fixed_x_education,45-59 | 1.illiterate,401,101,0.2518703241895262,0.2657781309207795,0.94767136527347,0.18194208106804038,0.6253795379537954,0.3541341985312825,0.1475,0.9405940594059405,0.14666666666666667,0.2706552706552707,0.88,0.42035398230088494,0.34663341645885287,44,256,6,95,
charls_heldout,age_fixed_x_education,45-59 | 2.primary school,339,25,0.07374631268436578,0.05625710002334618,1.3108800960903022,0.06749351368767911,0.6602547770700637,0.1526690163866313,0.1475,0.0,1.0,0.0,0.9262536873156342,0.0,0.9262536873156342,314,0,25,0,
charls_heldout,age_fixed_x_education,45-59 | 3.secondary school and above,687,12,0.017467248908296942,0.025599679633288998,0.6823229492912519,0.01716220059486397,0.6333333333333333,0.04184562099819532,0.1475,0.0,1.0,0.0,0.982532751091703,0.0,0.982532751091703,675,0,12,0,unstable
charls_heldout,age_fixed_x_education,60-69 | 1.illiterate,374,94,0.25133689839572193,0.26329215960712604,0.9545931742546255,0.17954485562668815,0.6402545592705168,0.36529864314619853,0.1475,0.9680851063829787,0.16071428571428573,0.2791411042944785,0.9375,0.43333333333333335,0.36363636363636365,45,235,3,91,
charls_heldout,age_fixed_x_education,60-69 | 2.primary school,265,17,0.06415094339622641,0.06215489412591903,1.0321141126274564,0.059844602725655394,0.6455170777988615,0.09346266150388213,0.1475,0.0,0.9838709677419355,0.0,0.9348659003831418,0.0,0.9207547169811321,244,4,17,0,unstable
charls_heldout,age_fixed_x_education,60-69 | 3.secondary school and above,271,5,0.01845018450184502,0.026305658225954046,0.7013770323998754,0.01789983817160265,0.7842105263157895,0.06687336687336687,0.1475,0.0,1.0,0.0,0.981549815498155,0.0,0.981549815498155,266,0,5,0,unstable
charls_heldout,age_fixed_x_education,70+ | 1.illiterate,167,68,0.40718562874251496,0.40771922557244916,0.9986912639962341,0.21896727168686367,0.6813725490196078,0.590268222085231,0.1475,1.0,0.04040404040404041,0.4171779141104294,1.0,0.5887445887445888,0.4311377245508982,4,95,0,68,unstable
charls_heldout,age_fixed_x_education,70+ | 2.primary school,129,15,0.11627906976744186,0.09933294580308609,1.1705992289602398,0.10584662956818361,0.5222222222222223,0.15266114688852417,0.1475,0.26666666666666666,0.868421052631579,0.21052631578947367,0.9,0.23529411764705882,0.7984496124031008,99,15,11,4,unstable
charls_heldout,age_fixed_x_education,70+ | 3.secondary school and above,98,6,0.061224489795918366,0.04354108189125425,1.4061315690048584,0.05889598005259383,0.6630434782608696,0.11361630861630861,0.1475,0.0,0.9782608695652174,0.0,0.9375,0.0,0.9183673469387755,90,2,6,0,unstable
